Distance_A_px,Width_W_px,ID_bits,MT_ms,Hit
480,22,4.5121,1473,1
480,22,4.5121,1743,1
480,22,4.5121,1273,1
480,22,4.5121,1191,1
480,22,4.5121,1384,1
160,80,1.5850,816,1
160,80,1.5850,745,1
160,80,1.5850,591,1
160,80,1.5850,864,1
160,80,1.5850,640,1
320,22,3.9584,1056,1
320,22,3.9584,960,1
320,22,3.9584,1152,1
320,22,3.9584,984,1
320,22,3.9584,943,1
320,80,2.3219,569,1
320,80,2.3219,648,1
320,80,2.3219,561,1
320,80,2.3219,807,1
320,80,2.3219,536,1
480,46,3.5154,857,1
480,46,3.5154,775,1
480,46,3.5154,1240,1
480,46,3.5154,809,1
480,46,3.5154,1016,1
160,22,3.0484,1135,1
160,22,3.0484,937,1
160,22,3.0484,841,1
160,22,3.0484,1001,1
160,22,3.0484,1158,1
320,46,2.9921,849,1
320,46,2.9921,799,1
320,46,2.9921,816,1
320,46,2.9921,704,1
320,46,2.9921,928,1
480,80,2.8074,824,1
480,80,2.8074,784,1
480,80,2.8074,776,1
480,80,2.8074,945,1
480,80,2.8074,799,1
160,46,2.1629,1193,1
160,46,2.1629,713,1
160,46,2.1629,775,1
160,46,2.1629,841,1
160,46,2.1629,816,1
